time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2004-07-21,26.2,19.9,90,Mumbai,train
2020-02-27,24.5,0.0,58,Bengaluru,train
2014-02-05,22.1,0.0,43,Bengaluru,train
2012-09-26,26.5,0.3,74,Nagpur,train
2004-04-26,29.8,0.2,72,Chennai,train
2015-06-17,27.0,15.5,87,Mumbai,train
2004-03-09,22.5,0.0,55,Ludhiana,train
2016-11-03,23.1,0.0,63,Delhi,train
2013-03-01,23.8,0.0,26,Ahmedabad,train
2019-03-06,26.0,0.0,38,Hyderabad,train
2007-06-06,29.8,0.6,79,Mumbai,train
2011-02-12,24.0,0.0,40,Hyderabad,train
2005-09-22,27.1,4.6,85,Delhi,train
2024-04-16,28.6,0.0,41,Bengaluru,train
2005-03-23,18.1,1.7,81,Ludhiana,train
2004-07-17,26.2,0.3,74,Hyderabad,train
2006-04-11,29.1,0.0,26,Delhi,train
2019-01-10,12.7,0.0,66,Delhi,train
2021-03-18,26.1,0.0,45,Patna,train
2015-05-14,30.4,0.1,54,Hyderabad,train
2007-03-11,20.6,17.4,67,Delhi,train
2004-01-03,20.3,0.0,56,Nagpur,train
2018-07-29,27.5,1.6,76,Nagpur,train
2015-02-24,24.3,0.0,67,Patna,train
2018-12-15,22.1,0.2,62,Hyderabad,train
2020-02-04,20.5,3.1,83,Nagpur,train
2022-06-14,31.5,0.4,62,Ahmedabad,train
2007-06-24,32.1,0.6,63,Ludhiana,train
2014-08-22,29.6,5.3,84,Patna,train
2009-09-09,22.3,0.0,76,Bengaluru,train
2020-04-20,26.8,0.4,45,Delhi,train
2015-07-01,27.8,0.0,68,Bhopal,train
2017-08-08,25.0,9.0,89,Bhopal,train
2022-07-13,25.6,41.7,89,Bhopal,train
2021-05-19,29.9,0.1,57,Hyderabad,train
2020-07-09,24.6,15.4,89,Hyderabad,train
2014-05-03,31.5,0.0,47,Ahmedabad,train
2013-12-14,23.9,0.0,58,Mumbai,train
2020-04-19,29.7,0.2,75,Chennai,train
2016-07-31,25.6,60.0,93,Mumbai,train
2024-10-07,27.4,0.0,68,Nagpur,train
2020-01-04,13.4,0.5,82,Delhi,train
2005-11-14,21.2,0.0,59,Nagpur,train
2018-10-29,23.9,0.0,42,Bhopal,train
2011-02-09,19.6,0.0,49,Patna,train
2005-03-11,25.6,0.0,46,Nagpur,train
2016-05-23,35.9,0.0,30,Nagpur,train
2007-04-16,31.1,0.1,36,Ludhiana,train
2007-03-07,26.8,0.0,49,Mumbai,train
2020-01-25,22.1,0.0,45,Bengaluru,train
2023-01-01,20.0,0.0,45,Ahmedabad,train
2016-11-11,22.4,0.0,50,Bengaluru,train
2013-01-27,11.2,0.0,75,Ludhiana,train
2006-07-14,28.4,0.1,68,Nagpur,train
2012-03-24,28.7,0.0,45,Mumbai,train
2023-12-04,15.3,0.0,85,Ludhiana,train
2005-11-10,20.9,0.0,57,Delhi,train
2005-10-14,26.3,0.0,59,Delhi,train
2004-07-07,28.6,0.4,62,Hyderabad,train
2024-08-22,29.3,0.7,80,Ludhiana,train
2013-09-11,27.3,0.2,70,Bhopal,train
2018-11-16,23.6,0.0,53,Nagpur,train
2005-07-31,25.6,53.8,92,Mumbai,train
